lat,lon,id,dest_type,name,hazard,operational
29.6610592,-95.5578226,305,primary_school,HARMONY SCHOOL OF ENRICHMENT - HOUSTON,hurricane,FALSE
29.949285,-95.5469318,306,primary_school,HARMONY SCHOOL OF EXCELLENCE-HOUSTON,hurricane,FALSE
29.6610592,-95.5578226,307,primary_school,HARMONY SCHOOL OF EXPLORATION- HOUSTON,hurricane,FALSE
29.7273064,-95.4186082,308,primary_school,HARMONY SCHOOL OF FINE ARTS AND TECHNOLOGY-HOUSTON,hurricane,FALSE
29.67664324,-95.47726806,309,primary_school,HARMONY SCHOOL OF SCIENCE-HOUSTON,hurricane,TRUE
29.6610592,-95.5578226,310,primary_school,HARMONY SCIENCE ACADEMY - CYPRESS,hurricane,FALSE
29.86799215,-95.4541929,311,primary_school,HARRIS EL,hurricane,FALSE
29.76910935,-95.22138843,312,primary_school,HARRIS R P EL,hurricane,FALSE
29.69390589,-95.34309488,313,primary_school,HARTSFIELD EL,hurricane,FALSE
29.78546178,-95.39621645,314,primary_school,HARVARD EL,hurricane,FALSE
29.792054,-95.262272,315,primary_school,HARVEY S BROWN EL,hurricane,FALSE
30.00661,-95.5610531,316,primary_school,HAUDE EL,hurricane,FALSE
29.72282975,-95.61819901,317,primary_school,HEFLIN EL,hurricane,FALSE
29.80532735,-95.40644064,318,primary_school,HELMS EL,hurricane,FALSE
29.722256,-95.319688,319,primary_school,HENDERSON J EL,hurricane,FALSE
29.768632,-95.321212,320,primary_school,HENDERSON N EL,hurricane,FALSE
29.96325475,-95.45480499,321,primary_school,HERITAGE EL,hurricane,FALSE
29.68407877,-95.48734445,322,primary_school,HEROD EL,hurricane,FALSE
29.82229405,-95.36635907,323,primary_school,HERRERA EL,hurricane,FALSE
30.0736337,-95.18303088,324,primary_school,HIDDEN HOLLOW EL,hurricane,FALSE
