id_orig,key_0,medical_clinic,primary_school,supermarket,population
7024468,7024468,926.3,1024.2,2707.8,156
7024469,7024469,1168.7,1020.2,2950.1,150
7024470,7024470,855.2,1168.9,2636.7,177
7024471,7024471,1489.5,1557.4,3270.9,99
7024472,7024472,1234.1,1302.1,3015.6,165
7024473,7024473,1532.8,1600.8,3314.3,144
7024474,7024474,1600.8,1668.8,3382.3,120
7024475,7024475,936.1,2093.4,2793.0,177
7024476,7024476,574.6,1731.8,2431.4,195
7024477,7024477,481.8,1398.7,2098.3,159
7024478,7024478,1927.1,1905.4,2605.0,168
7024479,7024479,2730.8,3000.4,1594.1,144
7024480,7024480,1484.5,2055.4,1612.7,132
7024481,7024481,2810.5,2709.6,2663.8,138
7024482,7024482,3119.3,970.1,3247.4,132
7024483,7024483,1278.9,1849.7,1407.0,120
7024484,7024484,1579.2,2150.1,1707.4,126
7024485,7024485,2441.4,1622.4,2569.6,447
7024486,7024486,1922.6,1239.9,1742.3,243
7024487,7024487,2005.7,1323.0,1825.4,231
7024488,7024488,1947.0,1250.6,1766.6,174
7024489,7024489,1604.3,908.0,1424.0,309
7024490,7024490,1034.2,351.5,853.9,228
7024491,7024491,1165.7,714.8,985.3,294
7024492,7024492,1540.0,1089.0,1359.6,162
7024493,7024493,1356.6,905.7,1176.2,300
7024494,7024494,1822.1,1371.2,1641.8,153
7024495,7024495,1747.6,1296.7,1567.3,513
7024496,7024496,2803.4,2352.5,2623.1,138
7024497,7024497,1848.0,1397.1,1667.7,156
7024498,7024498,1875.0,1424.1,1694.7,210
7024499,7024499,1833.5,1382.6,1653.1,165
7024500,7024500,1646.7,1195.8,1466.4,195
7024501,7024501,1942.4,1807.5,2676.6,147
7024502,7024502,2370.2,2235.3,3104.4,183
7024503,7024503,1582.3,1131.3,1401.9,93
7024504,7024504,1843.6,1392.6,1663.2,102
7024505,7024505,2024.8,1774.0,2209.3,114
7024506,7024506,2247.6,1933.1,2368.5,153
7024507,7024507,2197.3,1581.6,2017.0,99
7024508,7024508,1702.2,1623.1,2436.3,186
7024509,7024509,1968.6,932.2,2598.1,159
7024510,7024510,1802.9,713.8,2537.0,132
7024511,7024511,1945.2,560.2,2574.7,108
7024512,7024512,2023.9,538.1,2758.1,120
7024513,7024513,2099.3,406.0,2728.8,102
7024514,7024514,2387.8,369.4,3017.2,168
7024515,7024515,2498.6,18.2,3137.7,174
7024516,7024516,2445.8,241.6,3322.8,141
7024517,7024517,1870.7,1735.7,2604.8,156
7024518,7024518,1753.6,1225.9,2487.8,204
7024519,7024519,1589.7,1587.8,2323.9,162
7024520,7024520,1794.4,1659.5,2387.5,120
7024521,7024521,1306.5,1583.2,2040.6,147
7024522,7024522,1212.3,1642.0,1946.4,144
7024523,7024523,1391.5,1355.6,2125.7,144
7024524,7024524,980.0,392.0,1965.3,162
7024525,7024525,783.2,614.6,1768.6,123
7024526,7024526,552.5,35.5,1537.8,207
7024527,7024527,623.8,601.0,1609.1,171
7024528,7024528,736.3,713.4,1721.6,135
7024529,7024529,799.9,798.1,1631.9,126
7024530,7024530,297.5,727.2,1282.9,174
7024531,7024531,340.2,770.0,1325.6,240
7024532,7024532,466.1,895.8,1451.4,141
7024533,7024533,859.0,1287.9,1337.1,102
7024534,7024534,796.6,1004.5,1053.7,180
7024535,7024535,1521.4,1333.4,2255.6,141
7024536,7024536,2045.3,518.7,2779.5,147
7024537,7024537,1734.7,1318.9,2803.2,81
7024538,7024538,2084.6,1000.1,3153.1,219
7024539,7024539,2135.8,1051.3,3204.3,144
7024540,7024540,1907.3,1285.6,2975.9,141
7024541,7024541,1610.8,1437.6,2679.3,117
7024542,7024542,1146.9,558.9,1839.3,171
7024543,7024543,1263.3,675.3,1785.6,186
7024544,7024544,1266.5,1003.0,1622.5,144
7024545,7024545,1130.9,978.5,1486.9,162
7024546,7024546,1211.6,1085.0,1351.1,108
7024547,7024547,556.2,707.2,1388.2,165
7024548,7024548,788.4,851.6,1161.9,102
7024549,7024549,789.5,879.8,929.0,135
7024550,7024550,631.2,952.1,1004.7,126
7024551,7024551,495.3,748.1,1093.1,132
7024552,7024552,445.4,698.3,988.9,141
7024553,7024553,392.0,903.0,952.2,150
7024554,7024554,1441.4,1177.9,1695.4,153
7024555,7024555,1534.4,1362.2,1310.2,192
7024556,7024556,1357.2,1277.4,1040.9,126
7024557,7024557,1339.3,1260.9,1388.5,129
7024558,7024558,1032.4,1122.8,1172.0,147
7024559,7024559,1662.4,1095.2,858.7,201
7024560,7024560,936.1,1026.4,1075.7,198
7024561,7024561,1489.3,800.4,563.9,192
7024562,7024562,1044.2,174.9,404.5,165
7024563,7024563,582.9,520.4,569.6,96
7024564,7024564,972.8,283.9,237.2,132
7024565,7024565,920.8,1066.6,1115.8,183
7024566,7024566,961.5,1107.3,1156.5,156
7024567,7024567,1111.6,911.7,960.9,177
7024568,7024568,1289.4,600.5,364.0,192
7024569,7024569,1108.0,1232.8,1197.2,105
7024570,7024570,1431.6,1486.6,1250.1,192
7024571,7024571,1271.3,1071.3,805.2,132
7024572,7024572,1728.0,1378.1,1141.5,165
7024573,7024573,1730.2,1049.5,813.0,180
7024574,7024574,1685.0,1004.3,767.8,225
7024575,7024575,1392.6,703.7,467.2,189
7024576,7024576,1453.8,1041.6,805.0,159
7024577,7024577,1260.5,1166.7,930.2,231
7024578,7024578,2395.3,2202.4,1965.9,108
7024579,7024579,2811.1,2681.7,2445.2,156
7024580,7024580,2733.7,2604.3,2367.8,135
7024581,7024581,2448.9,2682.0,2485.9,111
7024582,7024582,2556.6,2789.7,2593.7,192
7024583,7024583,2425.3,2658.4,2462.3,132
7024584,7024584,2154.5,2387.6,2191.5,180
7024585,7024585,1898.1,2131.2,1935.1,153
7024586,7024586,2053.9,2045.7,2090.9,138
7024587,7024587,4748.4,4244.1,6859.5,180
7024588,7024588,4043.1,3696.9,8619.0,531
7024589,7024589,2038.2,1692.0,6614.1,177
7024590,7024590,7526.8,2957.1,8866.7,228
7024591,7024591,1082.9,736.7,5684.4,159
7024592,7024592,473.2,127.0,5074.7,189
7024593,7024593,658.4,452.6,5260.0,147
7024594,7024594,611.7,405.8,5213.3,102
7024595,7024595,879.8,943.5,5481.4,141
7024596,7024596,300.1,218.9,4789.8,165
7024597,7024597,284.7,311.6,4886.3,99
7024598,7024598,1162.6,1508.8,5613.5,195
7024599,7024599,411.8,672.8,5013.4,162
7024600,7024600,1007.2,1353.4,5458.1,99
7024601,7024601,2898.3,2622.1,5117.9,114
7024602,7024602,553.7,568.3,4440.4,198
7024603,7024603,218.0,564.1,4523.4,141
7024604,7024604,1523.7,1869.9,3163.8,132
7024605,7024605,6278.4,2404.7,6345.9,117
7024606,7024606,3536.4,1494.6,4996.7,111
7024607,7024607,3913.1,1626.1,5373.4,126
7024608,7024608,2057.8,1197.7,3759.8,141
7024609,7024609,1319.2,1736.3,2785.5,129
7024610,7024610,1633.0,1492.3,1995.3,105
7024611,7024611,1740.1,1506.2,2070.1,147
7024612,7024612,1638.7,1404.8,1968.7,144
7024613,7024613,1826.8,1593.0,2312.3,174
7024614,7024614,2237.5,2583.7,4326.8,105
7024615,7024615,1552.5,1318.6,1933.3,90
7024616,7024616,1586.9,1353.0,1604.0,144
7024617,7024617,1693.1,1459.2,1710.2,114
7024618,7024618,3359.5,2168.0,4243.2,141
7024619,7024619,2140.9,1280.8,3842.9,117
7024620,7024620,2126.0,1265.9,3828.0,159
7024621,7024621,1780.7,920.6,3482.7,141
7024622,7024622,1679.9,819.8,3381.9,159
7024623,7024623,863.3,897.9,1710.1,126
7024624,7024624,1316.8,1083.0,1646.8,147
7024625,7024625,1080.1,244.7,2782.1,132
7024626,7024626,749.4,682.5,2684.4,177
7024627,7024627,848.0,557.3,2550.0,198
7024628,7024628,1006.6,368.2,2708.6,201
7024629,7024629,627.0,744.7,2562.0,219
7024630,7024630,507.2,693.9,2209.2,177
7024631,7024631,449.4,483.1,2151.4,159
7024632,7024632,674.5,1091.7,2140.9,186
7024633,7024633,105.1,454.6,2134.9,117
7024634,7024634,345.4,663.8,1971.5,120
7024635,7024635,261.1,469.1,1945.8,201
7024636,7024636,554.4,595.4,1762.5,189
7024637,7024637,633.8,544.2,1574.5,141
7024638,7024638,2154.1,2496.9,2445.7,108
7024639,7024639,1242.0,1008.1,1572.0,126
7024640,7024640,1247.1,1013.2,1264.2,99
7024641,7024641,1211.3,1238.5,1152.2,159
7024642,7024642,1253.9,1147.9,1194.8,174
7024643,7024643,1193.5,1287.5,1134.5,171
7024644,7024644,1168.3,1262.4,1109.3,111
7024645,7024645,1013.0,1355.8,1225.0,240
7024646,7024646,472.3,815.0,982.4,315
7024647,7024647,1328.2,1488.9,1189.9,156
7024648,7024648,1055.3,1398.1,1120.2,123
7024649,7024649,819.4,1162.1,1124.2,105
7024650,7024650,1133.7,1476.5,1292.0,213
7024651,7024651,1076.0,1418.7,1519.9,153
7024652,7024652,5886.9,2835.6,3792.7,162
7024653,7024653,2848.6,1988.5,3698.2,273
7024654,7024654,2306.5,1412.3,2915.7,195
7024655,7024655,2457.5,1563.3,3066.7,132
7024656,7024656,2937.4,2105.8,3532.6,129
7024657,7024657,2417.1,1523.0,3026.4,159
7024658,7024658,3219.8,2388.2,3814.9,213
7024659,7024659,2141.1,1582.7,2736.3,186
7024660,7024660,2814.3,1982.8,3409.5,171
7024661,7024661,1730.7,1172.3,2871.2,111
7024662,7024662,2008.5,1196.9,3279.9,180
7024663,7024663,1433.4,621.8,2902.8,123
7024664,7024664,1622.2,810.6,3091.6,147
7024665,7024665,1239.0,427.4,2708.5,144
7024666,7024666,1513.8,955.4,2654.3,99
7024667,7024667,1619.3,807.7,3088.8,165
7024668,7024668,1344.3,785.9,2484.8,138
7024669,7024669,2033.9,1475.4,2629.0,132
7024670,7024670,1856.4,1298.0,2451.6,213
7024671,7024671,955.3,320.3,2717.1,189
7024672,7024672,971.8,413.3,2613.1,90
7024673,7024673,1186.4,627.9,2398.5,99
7024674,7024674,958.4,399.9,2455.0,198
7024675,7024675,638.1,637.5,2573.0,123
7024676,7024676,1604.5,1046.1,1946.2,180
7024677,7024677,1525.5,967.1,1867.2,144
7024678,7024678,346.1,423.2,2130.9,225
7024679,7024679,674.8,1232.7,619.1,12
7024680,7024680,1221.3,952.6,1907.6,180
7024681,7024681,1334.8,1066.1,2021.2,111
7024682,7024682,1663.8,1395.1,2350.2,147
7024683,7024683,845.5,1403.4,789.8,159
7024684,7024684,1030.6,1588.5,974.9,135
7024685,7024685,1396.9,1954.8,1341.2,156
7024686,7024686,912.4,1470.3,856.8,153
7024687,7024687,154.3,958.3,885.0,156
7024688,7024688,336.6,1140.6,1067.3,189
7024689,7024689,478.4,36.8,1164.8,153
7024690,7024690,669.6,1524.9,1400.3,126
7024691,7024691,727.3,1234.8,1457.9,186
7024692,7024692,699.6,1426.9,1430.2,117
7024693,7024693,662.0,426.9,1348.4,198
7024694,7024694,760.1,1201.9,1490.8,126
7024695,7024695,726.1,491.0,1412.5,153
7024696,7024696,832.8,887.1,1563.4,141
7024697,7024697,806.6,571.4,1493.0,195
7024698,7024698,881.5,646.3,1567.8,99
7024699,7024699,852.3,583.6,1538.7,192
7024700,7024700,996.2,761.0,1682.6,189
7024701,7024701,1226.2,957.5,1912.6,210
7024702,7024702,1370.8,1135.6,2057.1,219
7024703,7024703,1823.7,1972.2,4006.7,183
7024704,7024704,1466.5,1343.9,1336.0,150
7024705,7024705,1650.6,943.4,1947.4,189
7024706,7024706,1002.4,505.8,1299.2,186
7024707,7024707,1287.0,579.8,1583.8,216
7024708,7024708,1893.9,1111.0,2190.7,153
7024709,7024709,1408.2,584.2,1704.9,126
7024710,7024710,1239.7,415.7,1536.5,117
7024711,7024711,2051.2,844.6,2347.9,183
7024712,7024712,1805.0,831.6,2101.7,174
7024713,7024713,1443.5,236.9,1740.3,159
7024714,7024714,2105.3,898.7,2402.1,186
7024715,7024715,2181.2,1075.7,2579.1,168
7024716,7024716,1992.6,808.4,2311.8,186
7024717,7024717,1916.2,1022.0,2525.4,198
7024718,7024718,1845.7,705.9,2209.3,105
7024719,7024719,957.1,815.8,1253.9,219
7024720,7024720,1073.4,841.0,1370.2,165
7024721,7024721,1332.3,557.3,1629.1,198
7024722,7024722,1182.7,666.9,1479.5,207
7024723,7024723,1506.4,575.7,1992.5,105
7024724,7024724,1265.6,978.9,1788.1,147
7024725,7024725,1391.4,690.7,1877.5,96
7024726,7024726,1273.6,851.3,2013.0,102
7024727,7024727,2185.2,2108.3,3548.0,168
7024728,7024728,2043.3,1484.9,2638.5,120
7024729,7024729,2158.7,1600.2,2753.9,96
7024730,7024730,1864.7,1945.8,3227.4,108
7024731,7024731,1818.7,1725.0,3128.0,120
7024732,7024732,2061.7,1668.1,2997.2,114
7024733,7024733,1874.0,1426.1,2829.1,144
7024734,7024734,1590.4,1377.3,1910.1,120
7024735,7024735,1854.7,1707.0,1799.1,165
7024736,7024736,1559.4,1411.7,1503.8,168
7024737,7024737,1679.7,1532.0,1624.0,96
7024738,7024738,1657.1,1509.4,1601.4,96
7024739,7024739,1447.9,1520.6,1746.1,264
7024740,7024740,1780.2,1632.5,1724.6,123
