osmid,from_
4588025420,4588025420.0
5760768797,5760768797.0
6220748852,6220748852.0
108025463,108025463.0
31943493,31943493.0
108026222,108026222.0
1181815084,1181815084.0
1181815211,1181815211.0
1181815173,1181815173.0
1182553886,1182553886.0
298294585,298294585.0
298294587,298294587.0
1171384715,1171384715.0
251526766,251526766.0
6112587670,6112587670.0
251387453,251387453.0
2126011287,2126011287.0
30489579,30489579.0
250047625,250047625.0
2051797066,2051797066.0
1193863305,1193863305.0
5193096056,5193096056.0
1193863305,1193863305.0
250044761,250044761.0
298295405,298295405.0
1080141991,1080141991.0
7668807147,7668807147.0
6174039407,6174039407.0
6185392334,6185392334.0
6185392347,6185392347.0
6174039416,6174039416.0
182915127,182915127.0
7729793716,7729793716.0
6174039422,6174039422.0
7729793712,7729793712.0
1171676748,1171676748.0
1171676557,1171676557.0
1171676740,1171676740.0
7543426872,7543426872.0
1171676755,1171676755.0
1171676740,1171676740.0
4582169993,4582169993.0
31943149,31943149.0
4582169994,4582169994.0
31943149,31943149.0
4582169995,4582169995.0
4582169994,4582169994.0
2152823660,2152823660.0
4582170404,4582170404.0
7234342979,7234342979.0
297883818,297883818.0
1171676704,1171676704.0
1171676745,1171676745.0
4069502204,4069502204.0
1171676782,1171676782.0
1171676740,1171676740.0
1171676745,1171676745.0
108029203,108029203.0
297884171,297884171.0
108028105,108028105.0
104560085,104560085.0
6329859241,6329859241.0
6329859245,6329859245.0
107989752,107989752.0
38454554,38454554.0
38454550,38454550.0
7755737052,7755737052.0
4582170512,4582170512.0
4582170512,4582170512.0
667220570,667220570.0
4582170515,4582170515.0
5152778001,5152778001.0
5152777973,5152777973.0
5152778006,5152778006.0
108028105,108028105.0
6374816782,6374816782.0
6852965267,6852965267.0
100329590,100329590.0
1181679815,1181679815.0
182870713,182870713.0
182871208,182871208.0
104565973,104565973.0
6106680918,6106680918.0
2436218354,2436218354.0
6105228360,6105228360.0
6105228660,6105228660.0
6854334551,6854334551.0
6105228377,6105228377.0
6105228595,6105228595.0
6105228595,6105228595.0
182890791,182890791.0
182890692,182890692.0
1852345877,1852345877.0
100306698,100306698.0
6105228606,6105228606.0
100314673,100314673.0
6852965252,6852965252.0
1181843288,1181843288.0
6852965252,6852965252.0
1181640346,1181640346.0
1181843288,1181843288.0
1181843614,1181843614.0
1181843614,1181843614.0
3734578979,3734578979.0
2241670414,2241670414.0
4139638844,4139638844.0
6853001646,6853001646.0
100314671,100314671.0
6853001646,6853001646.0
6852965253,6852965253.0
100314671,100314671.0
100326366,100326366.0
6854334527,6854334527.0
100306712,100306712.0
100325561,100325561.0
298295496,298295496.0
6101586375,6101586375.0
4054345243,4054345243.0
7437585842,7437585842.0
298295448,298295448.0
4054345245,4054345245.0
4054345246,4054345246.0
4054345245,4054345245.0
4054345243,4054345243.0
4054345246,4054345246.0
4054345246,4054345246.0
1181640354,1181640354.0
1181640348,1181640348.0
1181640338,1181640338.0
100314673,100314673.0
3715968904,3715968904.0
3715968904,3715968904.0
1181640338,1181640338.0
1181640338,1181640338.0
1181640354,1181640354.0
6852965246,6852965246.0
1181640348,1181640348.0
6852965248,6852965248.0
6852965247,6852965247.0
6852965247,6852965247.0
1181640354,1181640354.0
305588128,305588128.0
5155009685,5155009685.0
312426548,312426548.0
5797131191,5797131191.0
6242723922,6242723922.0
6105394755,6105394755.0
6105394758,6105394758.0
6105394768,6105394768.0
251387831,251387831.0
3979296283,3979296283.0
31246976,31246976.0
2437997582,2437997582.0
31246983,31246983.0
2437997580,2437997580.0
612028832,612028832.0
5152777973,5152777973.0
38454560,38454560.0
31943623,31943623.0
260036894,260036894.0
1171549566,1171549566.0
297881885,297881885.0
297881647,297881647.0
31246999,31246999.0
5153408711,5153408711.0
5766987132,5766987132.0
252538772,252538772.0
2427875284,2427875284.0
2427875270,2427875270.0
2427875290,2427875290.0
2427875284,2427875284.0
3540611881,3540611881.0
3540611877,3540611877.0
3546085344,3546085344.0
252538772,252538772.0
252538771,252538771.0
5766987132,5766987132.0
2427875216,2427875216.0
2427875290,2427875290.0
5766987132,5766987132.0
7253885503,7253885503.0
7253885479,7253885479.0
7253885325,7253885325.0
7253885325,7253885325.0
7253885479,7253885479.0
2427875413,2427875413.0
3540611892,3540611892.0
2427875454,2427875454.0
2427875466,2427875466.0
2427875479,2427875479.0
3540611881,3540611881.0
3540611892,3540611892.0
104557324,104557324.0
5785284978,5785284978.0
104557653,104557653.0
104557324,104557324.0
5785284796,5785284796.0
5785284806,5785284806.0
5785284959,5785284959.0
5785284815,5785284815.0
5785284959,5785284959.0
5785284959,5785284959.0
5785284823,5785284823.0
1172730204,1172730204.0
1172730204,1172730204.0
31104905,31104905.0
104557653,104557653.0
5785426394,5785426394.0
6099413221,6099413221.0
2241670546,2241670546.0
2241670644,2241670644.0
7196415616,7196415616.0
5785284963,5785284963.0
5785284815,5785284815.0
5998751485,5998751485.0
5998749528,5998749528.0
250054815,250054815.0
5785426395,5785426395.0
6329858755,6329858755.0
5998749516,5998749516.0
5785731412,5785731412.0
182784338,182784338.0
1181815230,1181815230.0
182699051,182699051.0
31813443,31813443.0
2244518286,2244518286.0
1183157269,1183157269.0
1183155448,1183155448.0
2128674363,2128674363.0
3102554150,3102554150.0
3102554149,3102554149.0
6220575429,6220575429.0
249788417,249788417.0
6167000480,6167000480.0
4605401219,4605401219.0
2140971339,2140971339.0
5017072865,5017072865.0
667220545,667220545.0
5017072867,5017072867.0
5015442063,5015442063.0
