,Unnamed: 0,city,hazard,service,ethnicity,distance,pop_perc_cum,pop_perc
410,410,christchurch,base,primary_school,maori,2.86872,92.98012208,0.469557051
411,411,christchurch,base,primary_school,maori,3.155282,93.46533104,0.485208953
412,412,christchurch,base,primary_school,maori,3.441844,94.15401471,0.688683675
413,413,christchurch,base,primary_school,maori,3.728406,94.41227109,0.258256378
414,414,christchurch,base,primary_school,maori,4.014968,94.64704962,0.234778526
415,415,christchurch,base,primary_school,maori,4.30153,94.83487244,0.18782282
416,416,christchurch,base,primary_school,maori,4.588092,95.03834716,0.203474722
417,417,christchurch,base,primary_school,maori,4.874654,95.34355924,0.305212083
418,418,christchurch,base,primary_school,maori,5.161216,95.49225231,0.148693066
419,419,christchurch,base,primary_school,maori,5.447778,95.50007826,0.007825951
420,420,christchurch,base,primary_school,maori,5.73434,95.50007826,0.0
421,421,christchurch,base,primary_school,maori,6.020902,95.58616372,0.086085459
422,422,christchurch,base,primary_school,maori,6.307464,95.65659728,0.070433558
423,423,christchurch,base,primary_school,maori,6.594026,95.8287682,0.172170919
424,424,christchurch,base,primary_school,maori,6.880588,95.8287682,0.0
425,425,christchurch,base,primary_school,maori,7.16715,96.11832838,0.289560182
426,426,christchurch,base,primary_school,maori,7.453712,96.38441071,0.266082329
427,427,christchurch,base,primary_school,maori,7.740274,96.90874941,0.524338707
428,428,christchurch,base,primary_school,maori,8.026836,97.04961653,0.140867115
429,429,christchurch,base,primary_school,maori,8.313398,97.50352168,0.453905149
430,430,christchurch,base,primary_school,maori,8.59996,97.73047425,0.226952575
431,431,christchurch,base,primary_school,maori,8.886522,98.05916419,0.328689936
432,432,christchurch,base,primary_school,maori,9.173084,98.07481609,0.015651902
433,433,christchurch,base,primary_school,maori,9.459646,98.26263891,0.18782282
434,434,christchurch,base,primary_school,maori,9.746208,98.46611363,0.203474722
435,435,christchurch,base,primary_school,maori,10.03277,98.52089529,0.054781656
436,436,christchurch,base,primary_school,maori,10.319332,98.59132885,0.070433558
437,437,christchurch,base,primary_school,maori,10.605894,98.84175927,0.250430427
438,438,christchurch,base,primary_school,maori,10.892456,98.94349663,0.101737361
439,439,christchurch,base,primary_school,maori,11.179018,99.1078416,0.164344968
440,440,christchurch,base,primary_school,maori,11.46558,99.27218657,0.164344968
441,441,christchurch,base,primary_school,maori,11.752142,99.31914228,0.046955705
442,442,christchurch,base,primary_school,maori,12.038704,99.36609798,0.046955705
443,443,christchurch,base,primary_school,maori,12.325266,99.36609798,0.0
444,444,christchurch,base,primary_school,maori,12.611828,99.48348724,0.117389263
445,445,christchurch,base,primary_school,maori,12.89839,99.65565816,0.172170919
446,446,christchurch,base,primary_school,maori,13.184952,99.65565816,0.0
447,447,christchurch,base,primary_school,maori,13.471514,99.81217718,0.156519017
448,448,christchurch,base,primary_school,maori,13.758076,99.89826264,0.086085459
449,449,christchurch,base,primary_school,maori,14.044638,100.0,0.101737361
450,450,christchurch,base,primary_school,asian,0.0031,4.044652969,4.044652969
451,451,christchurch,base,primary_school,asian,0.289662,20.03990724,15.99525427
452,452,christchurch,base,primary_school,asian,0.576224,45.67222132,25.63231408
453,453,christchurch,base,primary_school,asian,0.862786,67.3030254,21.63080408
454,454,christchurch,base,primary_school,asian,1.149348,82.39227741,15.08925201
455,455,christchurch,base,primary_school,asian,1.43591,89.42997357,7.037696166
456,456,christchurch,base,primary_school,asian,1.722472,93.42609071,3.996117133
457,457,christchurch,base,primary_school,asian,2.009034,95.90141832,2.475327617
458,458,christchurch,base,primary_school,asian,2.295596,96.85056355,0.94914523
459,459,christchurch,base,primary_school,asian,2.582158,97.42760071,0.577037157
460,460,christchurch,base,primary_school,asian,2.86872,97.97767352,0.550072804
461,461,christchurch,base,primary_school,asian,3.155282,98.22035269,0.242679178
462,462,christchurch,base,primary_school,asian,3.441844,98.31203149,0.091678801
463,463,christchurch,base,primary_school,asian,3.728406,98.39292455,0.080893059
464,464,christchurch,base,primary_school,asian,4.014968,98.48999622,0.097071671
465,465,christchurch,base,primary_school,asian,4.30153,98.63560373,0.145607507
466,466,christchurch,base,primary_school,asian,4.588092,98.72188966,0.08628593
467,467,christchurch,base,primary_school,asian,4.874654,98.82974707,0.107857413
468,468,christchurch,base,primary_school,asian,5.161216,99.05624764,0.226500566
469,469,christchurch,base,primary_school,asian,5.447778,99.05624764,0.0
470,470,christchurch,base,primary_school,asian,5.73434,99.05624764,0.0
471,471,christchurch,base,primary_school,asian,6.020902,99.06164051,0.005392871
472,472,christchurch,base,primary_school,asian,6.307464,99.06703338,0.005392871
473,473,christchurch,base,primary_school,asian,6.594026,99.08321199,0.016178612
474,474,christchurch,base,primary_school,asian,6.880588,99.08321199,0.0
475,475,christchurch,base,primary_school,asian,7.16715,99.12096209,0.037750094
476,476,christchurch,base,primary_school,asian,7.453712,99.21803376,0.097071671
477,477,christchurch,base,primary_school,asian,7.740274,99.34746265,0.129428895
478,478,christchurch,base,primary_school,asian,8.026836,99.4121771,0.064714448
